               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
117;0.010154;0.0038119;0;0.986;0.99921;0.99386;0.90753;0.006526;0.0019527;0;0.004806;0.004806;0.004806
118;0.010468;0.004032;0;0.99169;0.99291;0.99401;0.90457;0.0064704;0.0021352;0;0.0047612;0.0047612;0.0047612
119;0.010401;0.0039392;0;0.99127;0.99291;0.99472;0.89718;0.0066204;0.0023014;0;0.0047164;0.0047164;0.0047164
120;0.010941;0.0039055;0;0.99241;0.98582;0.99465;0.8984;0.0064376;0.0020859;0;0.0046716;0.0046716;0.0046716
121;0.010242;0.003923;0;0.98581;0.9852;0.99451;0.91031;0.0063634;0.0022;0;0.0046269;0.0046269;0.0046269
122;0.0098668;0.0037589;0;0.98349;0.98582;0.99409;0.9022;0.0075051;0.0019195;0;0.0045821;0.0045821;0.0045821
123;0.0088449;0.0038711;0;0.98526;1;0.99472;0.90341;0.0064909;0.002055;0;0.0045373;0.0045373;0.0045373
124;0.0094732;0.003752;0;0.98013;0.98582;0.99318;0.90328;0.0066991;0.0020388;0;0.0044925;0.0044925;0.0044925
125;0.0095395;0.0036901;0;0.98597;0.99716;0.99443;0.90754;0.0063308;0.0018907;0;0.0044478;0.0044478;0.0044478
126;0.0096981;0.0036422;0;0.99066;0.99291;0.9945;0.89714;0.0061376;0.0021889;0;0.004403;0.004403;0.004403
127;0.0094916;0.0041029;0;0.99054;0.94326;0.98786;0.88885;0.0068071;0.0027387;0;0.0043582;0.0043582;0.0043582
128;0.0097836;0.0037483;0;0.99801;0.98582;0.99486;0.90862;0.0064931;0.0023327;0;0.0043134;0.0043134;0.0043134
129;0.0098833;0.0037956;0;0.99201;0.98582;0.99443;0.90583;0.006879;0.0020645;0;0.0042687;0.0042687;0.0042687
130;0.0088767;0.0036105;0;0.99289;0.99062;0.99479;0.9066;0.0062549;0.0019785;0;0.0042239;0.0042239;0.0042239
131;0.0086991;0.0035147;0;0.99123;0.99291;0.99472;0.90399;0.006374;0.0022109;0;0.0041791;0.0041791;0.0041791
132;0.0089996;0.0036575;0;0.98512;0.99291;0.9931;0.90804;0.0067328;0.0019549;0;0.0041343;0.0041343;0.0041343
133;0.0093239;0.0035889;0;0.98505;1;0.9923;0.91055;0.0069643;0.0017868;0;0.0040896;0.0040896;0.0040896
134;0.0094799;0.0039846;0;0.9929;0.99121;0.99486;0.90252;0.0067662;0.0020662;0;0.0040448;0.0040448;0.0040448
135;0.0091127;0.0035265;0;0.99487;0.99291;0.995;0.90253;0.0063264;0.0021689;0;0.004;0.004;0.004
136;0.0093867;0.0035399;0;0.99199;0.99291;0.99493;0.90009;0.0064956;0.0022679;0;0.0039552;0.0039552;0.0039552
137;0.0085184;0.0035252;0;0.9992;0.99291;0.995;0.91121;0.0064948;0.0024574;0;0.0039104;0.0039104;0.0039104
138;0.0095309;0.0036591;0;0.99291;0.99287;0.99486;0.90573;0.0070086;0.0023562;0;0.0038657;0.0038657;0.0038657
139;0.0092124;0.0033701;0;0.98482;0.99291;0.9945;0.90877;0.0068567;0.0025196;0;0.0038209;0.0038209;0.0038209
140;0.0088547;0.0034131;0;0.98532;0.99291;0.99386;0.91;0.0069016;0.0024796;0;0.0037761;0.0037761;0.0037761
141;0.0087977;0.0035051;0;0.98591;0.99237;0.99229;0.89796;0.0065934;0.0022774;0;0.0037313;0.0037313;0.0037313
